ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
301,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.16,0.2,1.07,19.1,0.787,16.08,157
302,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0.2,1.06,20.24,0.753,16.15,157
303,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.44,0.2,0.77,11.28,0.577,5.01,157
304,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.09,19.7,0.699,15,158
305,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.7,0.42,0.6,1.07,21.83,0.78,18.23,159
306,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.1,1.12,22.28,0.812,20.26,160
307,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.24,0.1,1.09,21.74,0.767,18.18,160
308,0.5,0.5,0,38.051,2.745,0.5,0.5,162.855,1.185,0,0,1,2.06,1.047041012,3.495956244,0.5752427184,1.25,0.2,0.15,0.75,30.36,0.76,17.59,161
309,0.5,0.5,0,38.051,2.745,0.5,0.5,162.855,1.185,0,0,1,2.06,1.047041012,3.495956244,0.5752427184,1.25,0.2,0.35,0.67,28.35,0.74,14.18,161
310,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.5,0.2,0.2,1.13,22.92,0.7805,20.2,162
311,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.65,0.32,1.05,20.6,0.69,14.6,163
312,0,0.98,0.02,45.81436,2.7704,1,0,207,1.18,0,0,1,2.06,1.054200184,3.496622843,0.572815534,1.48,0.74,0,1.005,24.21,0.722,17.56,163
313,0,0.98,0.02,45.81436,2.7704,1,0,207,1.18,0,0,1,2.06,1.054200184,3.496622843,0.572815534,1.48,0.95,0,0.985,23.35,0.688,15.83,163
314,0,0.98,0.02,45.81436,2.7704,1,0,207,1.18,0,0,1,2.06,1.054200184,3.496622843,0.572815534,1.48,0.68,0,0.978,22.67,0.716,15.87,163
315,0.1615,0.7875,0.05,46.502885,2.723675,1,0,207,1.18,0.17,0,0.83,2.0192,1.048299286,3.470646654,0.5843898574,1.7,0.2,0.2,1.04,20.54,0.7,14.92,164
316,0.1615,0.7875,0.05,46.502885,2.723675,1,0,207,1.18,0.17,0,0.83,2.0192,1.048299286,3.470646654,0.5843898574,1.7,0.2,0.5,1.04,19.76,0.68,13.86,164
317,0.1235,0.8265,0.05,47.001858,2.729885,1,0,207,1.18,0.13,0,0.87,2.0288,1.048646981,3.477564097,0.5816246057,1.63,0.63,0.12,1.168,22.51,0.776,20.4,165
318,0.1235,0.8265,0.05,47.001858,2.729885,1,0,207,1.18,0.13,0,0.87,2.0288,1.048646981,3.477564097,0.5816246057,1.63,0.63,0.05,1.135,21.83,0.684,16.95,165
319,0.1235,0.8265,0.05,47.001858,2.729885,1,0,207,1.18,0.13,0,0.87,2.0288,1.048646981,3.477564097,0.5816246057,1.63,0.63,0.16,1.098,22.21,0.785,19.14,165
