Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,0.98,21.7,0.712,15.2
1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.075,21.296,0.664,15.2
1.038835888,3.51008842,0.572815534,1.5,0.3,0.1,1.06,19.2,0.745,15.2
1.038835888,3.51008842,0.572815534,1.5,0.4,0,0.92,21.73,0.758,15.2
1.040120664,3.499495199,0.5763125763,1.55,0.08,0.39,0.97,21.48,0.73,15.24
1.059446349,3.465084977,0.5830039526,1.62,0.23,0.37,1.027,21.47,0.6916,15.24
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.05,21.6,0.67,15.3
1.038835888,3.51008842,0.572815534,1.5,0.18,0.33,1.05,20.7,0.7,15.3
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.97,21.82,0.73,15.38
1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,1.07,23.44,0.6125,15.38
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.04,23,0.64,15.4
1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.04,20.2,0.74,15.4
1.059446349,3.465084977,0.5830039526,1.6,0.51,0.15,1.08,22.01,0.65,15.5
1.038835888,3.51008842,0.572815534,1.565,0.2,0.2,1.016,22.92,0.67,15.6
1.038835888,3.51008842,0.572815534,1.55,0.42,0.08,1.044,21.6,0.691,15.6
1.038835888,3.51008842,0.572815534,1.59,0.18,0.11,1.07,19.3,0.76,15.7
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.03,20.4,0.749,15.7
0.8445997664,4.331208764,0.572815534,1.73,0.18,0.27,1.08,18.41,0.793,15.71
1.038116177,3.484006853,0.5830039526,1.611,0.28,0.32,1.061,21.28,0.6955,15.71
1.040120664,3.499495199,0.5763125763,1.5,0.3,-0.3,0.96,21.1,0.78,15.8
1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.05,19.16,0.79,15.82
1.054200184,3.496622843,0.572815534,1.48,0.95,0,0.985,23.35,0.688,15.83
1.054200184,3.496622843,0.572815534,1.48,0.68,0,0.978,22.67,0.716,15.87
1.040120664,3.499495199,0.5763125763,1.55,0.18,0.37,0.98,22.94,0.7,15.9
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1,21.8,0.726,15.9
1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,1,22.4,0.71,16
1.049727855,3.422800284,0.60296372,1.6,0.08,0.2,1.13,19,0.71,16
1.038835888,3.51008842,0.572815534,1.5,0.16,0.37,1.04,20.4,0.756,16.04
1.038835888,3.51008842,0.572815534,1.5,0.51,0.3,1.061,20.68,0.731,16.04
0.8480449209,4.26409012,0.5957189015,1.92,0.86,0.06,1.23,16.79,0.7781,16.07
1.038835888,3.51008842,0.572815534,1.5,0.16,0.2,1.07,19.1,0.787,16.08
1.056826724,3.48542396,0.576171875,1.6,0.28,0.2,1.1,20.7,0.706,16.1
1.038835888,3.51008842,0.572815534,1.5,0.2,0.2,1,20.1,0.8,16.1
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.116,19.1,0.754,16.1
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.06,20.5,0.741,16.1
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.029,21.08,0.745,16.11
1.038835888,3.51008842,0.572815534,1.5,0.3,0.2,1.06,20.24,0.753,16.15
1.038835888,3.51008842,0.572815534,1.5,0.15,0.3,1.071,20.62,0.748,16.2
1.038835888,3.51008842,0.572815534,1.5,0.3,0.2,1.02,22.3,0.71,16.2
1.038835888,3.51008842,0.572815534,1.5,0.3,0.18,1.06,20.7,0.74,16.2
1.044728445,3.504567747,0.572815534,1.57,0.067,0.27,1.052,21.96,0.702,16.21
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.09,19.5,0.76,16.22
